,gap_id,is_fixed,percent_identity,query_start,query_end,query_length,query_alignment_length,target_start,target_end,target_length,target_alignment_length,total_bases_compared,mismatches,matches,total_length
92,7314607_9670-10804,1,1.0,108.0,0.0,108,108,0.0,108.0,111,108,108,0,108,108
93,7372870_5227-6320,1,1.0,125.0,0.0,126,125,0.0,125.0,125,125,125,0,125,125
94,7486565_12270-13331,1,1.0,0.0,30.0,30,30,0.0,30.0,30,30,30,0,30,30
95,7457525_2838-3926,1,1.0,1.0,70.0,70,69,0.0,69.0,69,69,69,0,69,69
96,7502863_17318-18417,1,0.9767,43.0,0.0,43,43,0.0,43.0,43,43,43,1,42,43
97,7478972_890-1940,1,1.0,117.0,0.0,117,117,0.0,117.0,117,117,117,0,117,117
98,7272690_5655-6905,1,1.0,226.0,0.0,226,226,0.0,226.0,226,226,226,0,226,226
99,7412115_1931-3076,1,1.0,0.0,122.0,122,122,0.0,122.0,122,122,122,0,122,122
100,7252130_1029-2132,1,0.9922,0.0,128.0,128,128,0.0,128.0,128,128,128,1,127,128
101,7482770_6950-8107,1,0.9928,139.0,0.0,139,139,0.0,139.0,139,139,139,1,138,139
102,7457434_6819-7980,1,1.0,0.0,125.0,125,125,0.0,125.0,125,125,125,0,125,125
103,7398040_3676-4756,1,0.9825,0.0,57.0,57,57,0.0,57.0,57,57,57,1,56,57
104,7443102_2974-4038,1,0.9902,102.0,0.0,102,102,0.0,102.0,122,102,102,1,101,102
105,7319635_538-1564,1,1.0,24.0,0.0,25,24,1.0,25.0,26,24,24,0,24,24
106,7495636_16047-17143,1,0.9912000000000001,114.0,0.0,114,114,0.0,114.0,114,114,114,1,113,114
107,7501639_3566-4665,1,0.9643,44.0,156.0,179,112,0.0,112.0,113,112,112,4,108,112
108,7297804_1061-2114,1,1.0,0.0,45.0,45,45,0.0,45.0,45,45,45,0,45,45
109,7453878_1632-2761,1,1.0,119.0,0.0,119,119,0.0,119.0,119,119,119,0,119,119
110,7385266_16471-17536,1,0.9792000000000001,48.0,0.0,68,48,0.0,48.0,48,48,48,1,47,48
111,7490641_1233-2283,1,0.0,,,0,0,,,0,0,0,0,0,0
112,7498940_3168-4218,1,0.0,,,0,0,,,0,0,0,0,0,0
113,7407541_10745-11778,1,0.0,,,0,0,,,0,0,0,0,0,0
114,7479201_1723-2773,1,0.0,,,0,0,,,0,0,0,0,0,0
115,7429517_3357-4529,1,1.0,42.0,0.0,42,42,118.0,160.0,219,42,42,0,42,42
116,7452344_7925-9089,1,1.0,0.0,141.0,141,141,2.0,143.0,147,141,141,0,141,141
117,7495676_114-1180,1,0.978,91.0,0.0,91,91,0.0,91.0,91,91,91,2,89,91
118,7468485_3809-4850,1,0.9795999999999999,49.0,0.0,49,49,0.0,49.0,49,49,49,1,48,49
119,7496578_4511-5561,1,1.0,0.0,28.0,28,28,0.0,28.0,28,28,28,0,28,28
120,7324781_0-1120,1,0.9886,0.0,88.0,88,88,0.0,88.0,89,88,88,1,87,88
121,7460105_18180-19228,1,1.0,24.0,2.0,24,22,0.0,22.0,22,22,22,0,22,22
122,7472206_6197-7280,1,0.9787,0.0,47.0,47,47,0.0,47.0,47,47,47,1,46,47
123,7506732_1766-2861,1,0.9444,0.0,36.0,36,36,0.0,36.0,36,36,36,2,34,36
124,7455736_7292-8348,1,1.0,0.0,20.0,20,20,0.0,20.0,20,20,20,0,20,20
125,7489969_16395-17459,1,1.0,29.0,0.0,29,29,0.0,29.0,31,29,29,0,29,29
126,7503370_42407-43432,1,1.0,60.0,0.0,60,60,0.0,60.0,60,60,60,0,60,60
127,7296648_10943-11981,1,1.0,68.0,0.0,69,68,1.0,69.0,69,68,68,0,68,68
128,7491272_3215-4240,1,0.0,,,0,0,,,0,0,0,0,0,0
129,7498541_6246-7296,1,0.0,,,0,0,,,0,0,0,0,0,0
130,7329671_6878-7997,1,1.0,0.0,145.0,145,145,0.0,145.0,145,145,145,0,145,145
131,7260731_16690-17712,1,1.0,22.0,0.0,22,22,8.0,30.0,38,22,22,0,22,22
132,7378508_9578-10628,1,1.0,0.0,36.0,36,36,6.0,42.0,42,36,36,0,36,36
133,7249553_2716-3766,1,0.9839,0.0,62.0,62,62,0.0,62.0,62,62,62,1,61,62
134,7416772_2528-3575,1,0.988,0.0,83.0,83,83,0.0,83.0,83,83,83,1,82,83
135,7445102_1669-2705,1,0.0,,,0,0,,,0,0,0,0,0,0
136,7500744_5592-6720,1,1.0,0.0,181.0,181,181,0.0,181.0,181,181,181,0,181,181
137,7431925_5128-6159,1,0.9825,0.0,57.0,57,57,0.0,57.0,57,57,57,1,56,57
138,7445269_3952-5016,1,1.0,0.0,58.0,58,58,8.0,66.0,66,58,58,0,58,58
139,7405974_8053-9133,1,0.9912000000000001,113.0,0.0,113,113,0.0,113.0,113,113,113,1,112,113
140,7395888_9757-10778,1,0.0,,,0,0,,,0,0,0,0,0,0
141,7362435_6115-7141,1,1.0,30.0,0.0,30,30,0.0,30.0,30,30,30,0,30,30
142,7415044_7738-8837,1,0.9895999999999999,96.0,0.0,96,96,0.0,96.0,96,96,96,1,95,96
143,7438531_14305-15343,1,0.0,,,0,0,,,0,0,0,0,0,0
144,7458722_12618-13714,1,0.9909,110.0,0.0,110,110,0.0,110.0,110,110,110,1,109,110
145,7499799_1092-2192,1,0.9783,46.0,0.0,46,46,0.0,46.0,46,46,46,1,45,46
146,7473445_11675-12748,1,1.0,0.0,61.0,61,61,0.0,61.0,61,61,61,0,61,61
147,7397765_12085-13109,1,0.0,,,0,0,,,0,0,0,0,0,0
148,7281131_1532-2747,1,1.0,281.0,0.0,281,281,64.0,345.0,345,281,281,0,281,281
149,7457843_6299-7476,1,1.0,0.0,107.0,107,107,0.0,107.0,107,107,107,0,107,107
150,7455535_15648-16679,1,1.0,27.0,0.0,27,27,0.0,27.0,27,27,27,0,27,27
151,7324102_1091-2358,1,0.997,0.0,336.0,336,336,0.0,336.0,336,336,336,1,335,336
152,7246521_6797-7886,1,1.0,75.0,0.0,75,75,0.0,75.0,75,75,75,0,75,75
153,7427353_663-1824,1,0.9821,0.0,112.0,112,112,0.0,112.0,113,112,112,2,110,112
154,7366366_1535-2637,1,0.0,,,0,0,,,0,0,0,0,0,0
155,7501624_326-1402,1,0.9845999999999999,65.0,0.0,65,65,0.0,65.0,65,65,65,1,64,65
156,7498737_23657-24699,1,1.0,0.0,63.0,63,63,0.0,63.0,63,63,63,0,63,63
157,7485588_3281-4447,1,1.0,112.0,0.0,127,112,0.0,112.0,112,112,112,0,112,112
158,7452935_46521-47575,1,1.0,132.0,0.0,132,132,0.0,132.0,132,132,132,0,132,132
159,7439859_2449-3480,1,1.0,43.0,0.0,43,43,0.0,43.0,43,43,43,0,43,43
160,7497181_8854-9890,1,1.0,129.0,0.0,129,129,0.0,129.0,129,129,129,0,129,129
161,7494236_8568-9618,1,0.0,,,0,0,,,0,0,0,0,0,0
162,7467759_6342-7397,1,0.9348000000000001,46.0,0.0,46,46,0.0,46.0,46,46,46,3,43,46
163,7463534_85641-86720,1,0.9861,0.0,72.0,72,72,4.0,76.0,76,72,72,1,71,72
164,7506663_1195-2251,1,1.0,0.0,40.0,40,40,0.0,40.0,40,40,40,0,40,40
165,7504019_61908-62969,1,1.0,55.0,0.0,55,55,0.0,55.0,55,55,55,0,55,55
166,7478125_6310-7375,1,0.9843999999999999,64.0,0.0,64,64,0.0,64.0,64,64,64,1,63,64
167,7388980_19023-20119,1,0.9912000000000001,114.0,0.0,114,114,0.0,114.0,114,114,114,1,113,114
168,7407406_10618-11654,1,1.0,31.0,0.0,31,31,0.0,31.0,31,31,31,0,31,31
169,7393683_1169-2269,1,0.9886,88.0,0.0,88,88,0.0,88.0,88,88,88,1,87,88
170,7256058_12960-13997,1,0.99,100.0,0.0,100,100,0.0,100.0,100,100,100,1,99,100
171,7456503_4951-6104,1,0.9617,0.0,626.0,626,626,0.0,627.0,740,627,626,24,602,627
172,7374061_18239-19335,1,1.0,0.0,136.0,136,136,3.0,139.0,139,136,136,0,136,136
173,7290682_1569-2613,1,0.9901000000000001,0.0,101.0,101,101,0.0,101.0,101,101,101,1,100,101
174,7430348_6763-7905,1,1.0,106.0,8.0,106,98,0.0,98.0,98,98,98,0,98,98
175,7374860_21123-22205,1,0.9878,82.0,0.0,82,82,0.0,82.0,82,82,82,1,81,82
176,7401624_2135-3200,1,0.9833,0.0,60.0,60,60,0.0,60.0,60,60,60,1,59,60
177,7458874_485-1547,1,0.988,2.0,85.0,86,83,0.0,83.0,83,83,83,1,82,83
178,7462662_14864-15927,1,1.0,77.0,0.0,77,77,0.0,77.0,77,77,77,0,77,77
179,7297056_4054-5102,1,1.0,0.0,80.0,80,80,0.0,80.0,80,80,80,0,80,80
180,7464068_3425-4450,1,1.0,46.0,0.0,46,46,0.0,46.0,46,46,46,0,46,46
181,7495036_20649-21699,1,0.9868000000000001,76.0,0.0,76,76,0.0,76.0,76,76,76,1,75,76
182,7500386_16017-17070,1,1.0,1.0,55.0,55,54,0.0,54.0,54,54,54,0,54,54
183,7465438_2337-3426,1,1.0,52.0,0.0,52,52,0.0,52.0,52,52,52,0,52,52
184,7325395_10992-12062,1,0.9856999999999999,0.0,70.0,70,70,0.0,70.0,70,70,70,1,69,70
185,7494608_4438-5488,1,1.0,0.0,23.0,23,23,0.0,23.0,23,23,23,0,23,23
186,7495563_2573-3611,1,0.0,,,0,0,,,0,0,0,0,0,0
187,7273851_1736-2900,1,1.0,0.0,124.0,124,124,0.0,124.0,124,124,124,0,124,124
188,7431317_1559-2662,1,1.0,81.0,0.0,81,81,0.0,81.0,81,81,81,0,81,81
189,7457436_1032-2121,1,1.0,0.0,66.0,66,66,0.0,66.0,66,66,66,0,66,66
190,7334620_1097-2148,1,0.9890000000000001,0.0,91.0,92,91,0.0,91.0,92,91,91,1,90,91
191,7479341_20390-21486,1,1.0,0.0,117.0,117,117,0.0,117.0,117,117,117,0,117,117
192,7473268_6882-7934,1,0.9859,0.0,71.0,71,71,0.0,71.0,71,71,71,1,70,71
193,7489582_2656-3715,1,0.9854999999999999,69.0,0.0,69,69,216.0,285.0,285,69,69,1,68,69
194,7394044_18262-19329,1,1.0,38.0,0.0,38,38,0.0,38.0,38,38,38,0,38,38
195,7440598_25805-26935,1,0.9840000000000001,125.0,0.0,125,125,0.0,125.0,125,125,125,2,123,125
196,7421157_9324-10352,1,0.9787,47.0,0.0,47,47,0.0,47.0,47,47,47,1,46,47
197,7470411_11988-13075,1,0.9890000000000001,0.0,91.0,92,91,0.0,91.0,92,91,91,1,90,91
198,7434450_7422-8560,1,0.9929000000000001,0.0,141.0,141,141,2.0,143.0,143,141,141,1,140,141
199,7382877_10204-11259,1,0.9556,45.0,0.0,45,45,0.0,45.0,45,45,45,2,43,45
200,7432589_3563-4649,1,0.9817,0.0,111.0,111,111,1.0,110.0,110,109,109,2,107,111
201,7388401_4784-5923,1,0.9937999999999999,161.0,0.0,161,161,0.0,161.0,161,161,161,1,160,161
202,7500954_3431-4535,1,0.9865,74.0,0.0,74,74,0.0,74.0,74,74,74,1,73,74
203,7432991_5684-6743,1,1.0,53.0,0.0,53,53,0.0,53.0,53,53,53,0,53,53
204,7492038_12431-13492,1,1.0,54.0,0.0,54,54,0.0,54.0,54,54,54,0,54,54
205,7437592_21453-22514,1,0.0,,,0,0,,,0,0,0,0,0,0
206,7473370_10445-11471,1,0.98,50.0,0.0,50,50,0.0,50.0,50,50,50,1,49,50
207,7380691_15288-16333,1,1.0,1.0,36.0,36,35,1.0,36.0,38,35,35,0,35,35
208,7390764_7244-8377,1,1.0,0.0,155.0,155,155,0.0,155.0,155,155,155,0,155,155
209,7504741_16270-17349,1,0.988,0.0,83.0,83,83,0.0,83.0,83,83,83,1,82,83
210,7492374_18440-19463,1,1.0,36.0,0.0,36,36,0.0,36.0,47,36,36,0,36,36
211,7271144_2778-3876,1,1.0,0.0,55.0,55,55,0.0,55.0,617,55,55,0,55,55
212,7491543_14355-15405,1,1.0,32.0,0.0,32,32,2.0,34.0,34,32,32,0,32,32
213,7478625_10236-11484,1,0.9876999999999999,0.0,163.0,163,163,0.0,163.0,979,163,163,2,161,163
214,7282729_1308-2467,1,0.9836,183.0,0.0,183,183,0.0,183.0,183,183,183,3,180,183
215,7417938_2840-3919,1,0.0,,,0,0,,,0,0,0,0,0,0
216,7498703_8336-9447,1,0.9887999999999999,0.0,89.0,89,89,0.0,89.0,89,89,89,1,88,89
217,7340159_3456-4739,1,0.0,,,0,0,,,0,0,0,0,0,0
218,7344761_109-1157,1,0.9706,0.0,34.0,34,34,0.0,34.0,34,34,34,1,33,34
219,7488007_14699-15732,1,0.9655,58.0,0.0,58,58,0.0,58.0,58,58,58,2,56,58
220,7437091_4275-5304,1,0.8148000000000001,0.0,27.0,29,27,0.0,27.0,29,27,27,5,22,27
221,7503444_27108-28200,1,0.99,100.0,0.0,101,100,0.0,100.0,100,100,100,1,99,100
222,7434372_4963-6063,1,0.9892,93.0,0.0,93,93,0.0,93.0,93,93,93,1,92,93
223,7489091_1831-2881,1,0.0,,,0,0,,,0,0,0,0,0,0
224,7264925_42849-43874,1,1.0,41.0,0.0,41,41,0.0,41.0,41,41,41,0,41,41
225,7331562_4436-5477,1,0.0,,,0,0,,,0,0,0,0,0,0
226,7414106_1983-3015,1,1.0,34.0,1.0,34,33,13.0,46.0,47,33,33,0,33,33
227,7320575_321-1415,1,1.0,0.0,46.0,46,46,13.0,59.0,59,46,46,0,46,46
228,7470523_30352-31375,1,1.0,0.0,31.0,31,31,0.0,31.0,31,31,31,0,31,31
229,7480692_809-1859,1,1.0,0.0,29.0,29,29,0.0,29.0,29,29,29,0,29,29
230,7256201_26328-27499,1,1.0,80.0,0.0,80,80,2.0,82.0,82,80,80,0,80,80
231,7259501_8475-9575,1,1.0,0.0,114.0,114,114,0.0,114.0,114,114,114,0,114,114
232,7458440_3627-4795,1,0.9926999999999999,1.0,138.0,138,137,5.0,142.0,142,137,137,1,136,137
233,7327979_903-1955,1,1.0,58.0,0.0,58,58,0.0,58.0,58,58,58,0,58,58
234,7475027_7031-8112,1,0.0,,,0,0,,,0,0,0,0,0,0
235,7497185_8626-9670,1,0.9854999999999999,69.0,0.0,69,69,11.0,80.0,80,69,69,1,68,69
236,7492668_3665-4706,1,0.9865,0.0,74.0,74,74,0.0,74.0,74,74,74,1,73,74
237,7241431_13232-14315,1,0.9903,0.0,103.0,104,103,0.0,103.0,103,103,103,1,102,103
238,7476095_5776-6833,1,0.9722,0.0,36.0,36,36,0.0,36.0,36,36,36,1,35,36
239,7469738_3305-4345,1,1.0,0.0,42.0,42,42,0.0,42.0,42,42,42,0,42,42
240,7446463_3887-4953,1,0.0,,,0,0,,,0,0,0,0,0,0
241,7475042_690-1717,1,1.0,56.0,0.0,56,56,0.0,56.0,56,56,56,0,56,56
242,7479066_24499-25554,1,1.0,0.0,76.0,76,76,0.0,76.0,76,76,76,0,76,76
243,7367994_6197-7330,1,1.0,0.0,70.0,70,70,28.0,98.0,98,70,70,0,70,70
244,7397279_7223-8268,1,0.9856999999999999,70.0,0.0,70,70,0.0,70.0,74,70,70,1,69,70
245,7351102_10-1034,1,0.0,,,0,0,,,0,0,0,0,0,0
246,7494363_33816-34862,1,0.0,,,0,0,,,0,0,0,0,0,0
247,7490653_7296-8408,1,0.0,,,0,0,,,0,0,0,0,0,0
248,7471152_3579-4643,1,0.9904000000000001,0.0,104.0,104,104,0.0,104.0,104,104,104,1,103,104
249,7503013_38786-39830,1,1.0,76.0,0.0,76,76,0.0,76.0,76,76,76,0,76,76
250,7477334_14796-15852,1,1.0,32.0,0.0,32,32,0.0,32.0,32,32,32,0,32,32
251,7389518_1818-2932,1,0.9890000000000001,183.0,0.0,183,183,0.0,182.0,182,182,182,2,180,183
252,7331068_85-1152,1,0.9623,53.0,0.0,53,53,0.0,53.0,53,53,53,2,51,53
253,7416417_4994-6103,1,0.9873000000000001,0.0,79.0,79,79,0.0,79.0,91,79,79,1,78,79
254,7432142_696-1748,1,0.0,,,0,0,,,0,0,0,0,0,0
255,7330429_196-1222,1,0.9878,82.0,0.0,82,82,0.0,82.0,94,82,82,1,81,82
256,7493375_1488-2578,1,1.0,32.0,0.0,32,32,2.0,34.0,174,32,32,0,32,32
257,7472117_71271-72360,1,0.9859,71.0,0.0,71,71,0.0,71.0,71,71,71,1,70,71
258,7491774_8312-9405,1,0.9205,0.0,88.0,88,88,2.0,90.0,90,88,88,7,81,88
259,7308103_1117-2142,1,1.0,27.0,0.0,28,27,0.0,27.0,27,27,27,0,27,27
260,7473263_4934-6078,1,0.9943000000000001,0.0,353.0,353,353,0.0,353.0,353,353,353,2,351,353
261,7424138_9435-10498,1,0.9787,47.0,0.0,47,47,0.0,47.0,47,47,47,1,46,47
262,7266177_3187-4255,1,1.0,0.0,80.0,80,80,0.0,80.0,80,80,80,0,80,80
263,7322430_1879-2977,1,0.9833,0.0,60.0,60,60,0.0,60.0,60,60,60,1,59,60
264,7330739_1573-2651,1,0.973,37.0,0.0,37,37,0.0,37.0,37,37,37,1,36,37
265,7277729_1565-2752,1,0.9913,0.0,115.0,115,115,5.0,120.0,120,115,115,1,114,115
266,7342562_1595-2656,1,1.0,0.0,80.0,80,80,0.0,80.0,80,80,80,0,80,80
267,7459873_12927-13966,1,0.9737,0.0,38.0,38,38,0.0,38.0,38,38,38,1,37,38
268,7314911_9110-10301,1,0.972,0.0,143.0,143,143,0.0,143.0,143,143,143,4,139,143
269,7300381_1219-2305,1,1.0,0.0,63.0,63,63,0.0,63.0,63,63,63,0,63,63
270,7387312_5002-6024,1,0.0,,,0,0,,,0,0,0,0,0,0
271,7263715_3007-4032,1,1.0,76.0,0.0,76,76,0.0,76.0,76,76,76,0,76,76
272,7473183_18665-19716,1,0.9853000000000001,68.0,0.0,68,68,2.0,70.0,70,68,68,1,67,68
273,7303292_1681-2710,1,0.0,,,0,0,,,0,0,0,0,0,0
274,7479794_912-1962,1,1.0,0.0,34.0,34,34,0.0,34.0,34,34,34,0,34,34
275,7340934_1839-2862,1,0.0,,,0,0,,,0,0,0,0,0,0
276,7404887_4916-5955,1,0.0,,,0,0,,,0,0,0,0,0,0
277,7458857_3243-4337,1,1.0,0.0,33.0,34,33,1.0,34.0,35,33,33,0,33,33
278,7352240_19-1065,1,0.9898,98.0,0.0,98,98,0.0,98.0,98,98,98,1,97,98
279,7445080_444-1500,1,1.0,0.0,43.0,43,43,0.0,43.0,43,43,43,0,43,43
280,7334702_1454-2499,1,0.0,,,0,0,,,0,0,0,0,0,0
