,gap_id,is_fixed,percent_identity,query_start,query_end,query_length,query_alignment_length,target_start,target_end,target_length,target_alignment_length,total_bases_compared,mismatches,matches,total_length
47,7384856_10905-11998,1,1.0,404.0,460.0,852,56,0.0,56.0,56,56,56,0,56,56
48,7270322_436-1461,1,0.0,,,0,0,,,0,0,0,0,0,0
49,7440484_4914-5991,1,1.0,242.0,329.0,955,87,87.0,0.0,87,87,87,0,87,87
50,7397061_1295-2390,1,1.0,199.0,287.0,516,88,0.0,88.0,89,88,88,0,88,88
51,7293055_3703-4758,1,1.0,235.0,304.0,492,69,70.0,1.0,72,69,69,0,69,69
52,7363858_3390-4493,1,1.0,200.0,263.0,479,63,63.0,0.0,63,63,63,0,63,63
53,7371519_11874-12975,1,0.9007999999999999,239.0,362.0,474,123,122.0,1.0,122,121,121,12,109,123
54,7289212_765-1960,1,0.8613,42.0,423.0,812,381,379.0,3.0,449,376,375,52,323,382
55,7505127_20226-21276,1,0.9808,58.0,110.0,340,52,0.0,52.0,53,52,52,1,51,52
56,7457179_1660-2705,1,1.0,208.0,259.0,482,51,51.0,0.0,51,51,51,0,51,51
57,7391926_14173-15212,1,0.0,,,0,0,,,0,0,0,0,0,0
58,7441448_3936-5111,1,0.0,,,0,0,,,0,0,0,0,0,0
59,7502799_17020-18080,1,1.0,234.0,281.0,470,47,47.0,0.0,47,47,47,0,47,47
60,7426618_9242-10340,1,0.9732999999999999,204.0,279.0,317,75,0.0,75.0,76,75,75,2,73,75
61,7271182_8467-9491,1,1.0,227.0,281.0,511,54,54.0,0.0,54,54,54,0,54,54
62,7501737_51953-52977,1,0.8972,329.0,442.0,675,113,107.0,0.0,109,107,107,11,96,113
63,7455687_18102-19132,1,1.0,235.0,282.0,545,47,47.0,0.0,47,47,47,0,47,47
64,7299136_23707-24754,1,1.0,245.0,288.0,635,43,43.0,0.0,43,43,43,0,43,43
65,7282255_1430-2488,1,1.0,247.0,310.0,564,63,0.0,63.0,63,63,63,0,63,63
66,7454884_35735-36802,1,1.0,39.0,112.0,359,73,0.0,73.0,73,73,73,0,73,73
67,7492172_6098-7217,1,1.0,218.0,332.0,579,114,0.0,114.0,115,114,114,0,114,114
68,7464407_13269-14396,1,0.9847,247.0,378.0,696,131,0.0,131.0,131,131,131,2,129,131
69,7265687_6579-7607,1,1.0,234.0,381.0,644,147,0.0,147.0,147,147,147,0,147,147
70,7278244_1985-3009,1,1.0,245.0,325.0,565,80,0.0,80.0,81,80,80,0,80,80
71,7430170_22434-23459,1,1.0,190.0,294.0,518,104,104.0,0.0,104,104,104,0,104,104
72,7426243_1606-2734,1,0.9326000000000001,93.0,287.0,536,194,1.0,195.0,195,194,193,13,180,195
73,7338074_130-1225,1,1.0,244.0,353.0,645,109,0.0,109.0,109,109,109,0,109,109
74,7445260_306-1360,1,1.0,362.0,453.0,834,91,90.0,0.0,90,90,90,0,90,91
75,7500244_1857-2935,1,1.0,217.0,272.0,519,55,55.0,0.0,55,55,55,0,55,55
76,7492952_10678-11721,1,1.0,237.0,294.0,531,57,0.0,57.0,57,57,57,0,57,57
77,7270242_2584-3730,1,1.0,192.0,359.0,593,167,0.0,167.0,167,167,167,0,167,167
78,7471889_698-1727,1,0.9355,477.0,539.0,639,62,0.0,62.0,63,62,62,4,58,62
79,7440652_8803-9842,1,1.0,213.0,265.0,507,52,52.0,0.0,53,52,52,0,52,52
80,7296785_180-1260,1,0.0,,,0,0,,,0,0,0,0,0,0
81,7378778_2377-3430,1,1.0,244.0,303.0,548,59,0.0,59.0,59,59,59,0,59,59
82,7378226_8094-9129,1,1.0,239.0,271.0,503,32,0.0,32.0,32,32,32,0,32,32
83,7418288_1581-2764,1,0.9954000000000001,101.0,318.0,490,217,43.0,262.0,262,219,217,1,216,219
84,7496869_1555-2605,1,0.0,,,0,0,,,0,0,0,0,0,0
85,7502552_2517-3585,1,1.0,246.0,395.0,731,149,149.0,0.0,150,149,149,0,149,149
86,7464649_16335-17395,1,1.0,214.0,279.0,516,65,66.0,1.0,66,65,65,0,65,65
87,7410353_9932-11032,1,1.0,218.0,316.0,570,98,0.0,98.0,99,98,98,0,98,98
88,7402327_3571-4628,1,1.0,158.0,253.0,457,95,0.0,95.0,95,95,95,0,95,95
89,7314607_9670-10804,1,0.0,,,0,0,,,0,0,0,0,0,0
90,7372870_5227-6320,1,1.0,246.0,371.0,544,125,125.0,0.0,125,125,125,0,125,125
91,7486565_12270-13331,1,1.0,242.0,272.0,506,30,0.0,30.0,30,30,30,0,30,30
92,7457525_2838-3926,1,0.0,,,0,0,,,0,0,0,0,0,0
93,7502863_17318-18417,1,1.0,245.0,288.0,517,43,43.0,0.0,43,43,43,0,43,43
94,7478972_890-1940,1,0.9743999999999999,106.0,223.0,524,117,117.0,0.0,117,117,117,3,114,117
95,7272690_5655-6905,1,1.0,249.0,475.0,748,226,226.0,0.0,226,226,226,0,226,226
96,7412115_1931-3076,1,1.0,229.0,351.0,547,122,0.0,122.0,122,122,122,0,122,122
97,7252130_1029-2132,1,0.9922,243.0,371.0,628,128,0.0,128.0,128,128,128,1,127,128
98,7482770_6950-8107,1,0.9928,184.0,323.0,576,139,139.0,0.0,139,139,139,1,138,139
99,7457434_6819-7980,1,0.7879,448.0,515.0,515,67,2.0,68.0,125,66,66,14,52,67
100,7398040_3676-4756,1,0.9825,185.0,242.0,586,57,0.0,57.0,57,57,57,1,56,57
101,7443102_2974-4038,1,1.0,171.0,293.0,523,122,122.0,0.0,122,122,122,0,122,122
102,7319635_538-1564,1,1.0,145.0,170.0,414,25,26.0,1.0,26,25,25,0,25,25
103,7495636_16047-17143,1,0.9737,247.0,361.0,730,114,114.0,0.0,114,114,114,3,111,114
104,7501639_3566-4665,1,0.9558,389.0,502.0,627,113,113.0,0.0,113,113,113,5,108,113
105,7297804_1061-2114,1,1.0,245.0,290.0,516,45,0.0,45.0,45,45,45,0,45,45
106,7453878_1632-2761,1,0.9355,307.0,338.0,589,31,0.0,31.0,119,31,31,2,29,31
107,7385266_16471-17536,1,1.0,209.0,256.0,468,47,47.0,0.0,48,47,47,0,47,47
108,7490641_1233-2283,1,0.0,,,0,0,,,0,0,0,0,0,0
109,7407541_10745-11778,1,0.0,,,0,0,,,0,0,0,0,0,0
110,7479201_1723-2773,1,0.0,,,0,0,,,0,0,0,0,0,0
111,7429517_3357-4529,1,0.968,712.0,931.0,1432,219,0.0,219.0,219,219,219,7,212,219
112,7452344_7925-9089,1,1.0,235.0,382.0,600,147,0.0,147.0,147,147,147,0,147,147
113,7495676_114-1180,1,0.9889,187.0,277.0,500,90,90.0,0.0,91,90,90,1,89,90
114,7468485_3809-4850,1,1.0,188.0,236.0,399,48,48.0,0.0,49,48,48,0,48,48
115,7496578_4511-5561,1,0.0,,,0,0,,,0,0,0,0,0,0
116,7324781_0-1120,1,0.9775,244.0,333.0,572,89,0.0,89.0,89,89,89,2,87,89
117,7460105_18180-19228,1,1.0,202.0,224.0,582,22,22.0,0.0,22,22,22,0,22,22
118,7472206_6197-7280,1,1.0,242.0,288.0,537,46,0.0,46.0,47,46,46,0,46,46
119,7506732_1766-2861,1,0.9722,248.0,284.0,330,36,0.0,36.0,36,36,36,1,35,36
120,7455736_7292-8348,1,1.0,235.0,255.0,497,20,0.0,20.0,20,20,20,0,20,20
121,7489969_16395-17459,1,1.0,232.0,262.0,494,30,31.0,1.0,31,30,30,0,30,30
122,7503370_42407-43432,1,0.9492,304.0,363.0,579,59,60.0,1.0,60,59,59,3,56,59
123,7296648_10943-11981,1,1.0,231.0,299.0,342,68,69.0,1.0,69,68,68,0,68,68
124,7491272_3215-4240,1,0.0,,,0,0,,,0,0,0,0,0,0
125,7498541_6246-7296,1,0.0,,,0,0,,,0,0,0,0,0,0
126,7329671_6878-7997,1,0.9236,146.0,291.0,451,145,0.0,145.0,145,145,144,11,133,146
127,7260731_16690-17712,1,1.0,224.0,262.0,487,38,38.0,0.0,38,38,38,0,38,38
128,7378508_9578-10628,1,1.0,214.0,256.0,555,42,0.0,42.0,42,42,42,0,42,42
129,7249553_2716-3766,1,1.0,246.0,307.0,494,61,1.0,62.0,62,61,61,0,61,61
130,7416772_2528-3575,1,1.0,235.0,317.0,530,82,0.0,82.0,83,82,82,0,82,82
131,7445102_1669-2705,1,0.0,,,0,0,,,0,0,0,0,0,0
132,7500744_5592-6720,1,1.0,175.0,356.0,567,181,0.0,181.0,181,181,181,0,181,181
133,7431925_5128-6159,1,1.0,241.0,298.0,544,57,0.0,57.0,57,57,57,0,57,57
134,7445269_3952-5016,1,1.0,70.0,136.0,419,66,0.0,66.0,66,66,66,0,66,66
135,7405974_8053-9133,1,0.9912000000000001,246.0,359.0,387,113,113.0,0.0,113,113,113,1,112,113
136,7395888_9757-10778,1,0.0,,,0,0,,,0,0,0,0,0,0
137,7362435_6115-7141,1,1.0,216.0,246.0,482,30,30.0,0.0,30,30,30,0,30,30
138,7415044_7738-8837,1,0.0,,,0,0,,,0,0,0,0,0,0
139,7438531_14305-15343,1,0.0,,,0,0,,,0,0,0,0,0,0
140,7458722_12618-13714,1,1.0,189.0,299.0,609,110,110.0,0.0,110,110,110,0,110,110
141,7499799_1092-2192,1,1.0,262.0,308.0,551,46,46.0,0.0,46,46,46,0,46,46
142,7332511_194-1216,1,1.0,649.0,681.0,862,32,0.0,32.0,33,32,32,0,32,32
143,7473445_11675-12748,1,1.0,239.0,300.0,546,61,0.0,61.0,61,61,61,0,61,61
144,7397765_12085-13109,1,0.0,,,0,0,,,0,0,0,0,0,0
145,7281131_1532-2747,1,0.9643999999999999,102.0,327.0,463,225,247.0,22.0,345,225,225,8,217,225
146,7457843_6299-7476,1,0.0,,,0,0,,,0,0,0,0,0,0
147,7455535_15648-16679,1,1.0,210.0,237.0,339,27,27.0,0.0,27,27,27,0,27,27
148,7324102_1091-2358,1,1.0,80.0,297.0,297,217,0.0,217.0,336,217,217,0,217,217
149,7246521_6797-7886,1,1.0,244.0,319.0,553,75,75.0,0.0,75,75,75,0,75,75
150,7427353_663-1824,1,0.9911,199.0,311.0,536,112,1.0,113.0,113,112,112,1,111,112
151,7366366_1535-2637,1,0.9664,88.0,207.0,402,119,0.0,119.0,119,119,119,4,115,119
152,7501624_326-1402,1,1.0,238.0,303.0,534,65,65.0,0.0,65,65,65,0,65,65
153,7498737_23657-24699,1,1.0,226.0,289.0,425,63,0.0,63.0,63,63,63,0,63,63
154,7485588_3281-4447,1,1.0,242.0,354.0,660,112,112.0,0.0,112,112,112,0,112,112
155,7452935_46521-47575,1,0.9924,227.0,359.0,574,132,132.0,0.0,132,132,132,1,131,132
156,7439859_2449-3480,1,1.0,199.0,242.0,460,43,43.0,0.0,43,43,43,0,43,43
157,7497181_8854-9890,1,1.0,174.0,303.0,502,129,129.0,0.0,129,129,129,0,129,129
158,7494236_8568-9618,1,0.0,,,0,0,,,0,0,0,0,0,0
159,7467759_6342-7397,1,1.0,49.0,95.0,335,46,46.0,0.0,46,46,46,0,46,46
160,7463534_85641-86720,1,0.9867,26.0,101.0,363,75,0.0,75.0,76,75,75,1,74,75
161,7506663_1195-2251,1,1.0,243.0,283.0,418,40,0.0,40.0,40,40,40,0,40,40
162,7504019_61908-62969,1,0.8542000000000001,582.0,630.0,832,48,4.0,55.0,55,51,48,7,41,51
163,7478125_6310-7375,1,1.0,242.0,306.0,491,64,64.0,0.0,64,64,64,0,64,64
164,7388980_19023-20119,1,1.0,162.0,275.0,548,113,113.0,0.0,114,113,113,0,113,113
165,7407406_10618-11654,1,1.0,235.0,266.0,460,31,31.0,0.0,31,31,31,0,31,31
166,7393683_1169-2269,1,0.9884999999999999,243.0,330.0,565,87,88.0,1.0,88,87,87,1,86,87
167,7256058_12960-13997,1,0.99,212.0,312.0,554,100,100.0,0.0,100,100,100,1,99,100
168,7456503_4951-6104,1,0.8623000000000001,253.0,638.0,734,385,353.0,739.0,740,386,385,53,332,386
169,7374061_18239-19335,1,0.0,,,0,0,,,0,0,0,0,0,0
170,7290682_1569-2613,1,1.0,237.0,337.0,705,100,0.0,100.0,101,100,100,0,100,100
171,7430348_6763-7905,1,1.0,248.0,346.0,398,98,98.0,0.0,98,98,98,0,98,98
172,7374860_21123-22205,1,1.0,229.0,311.0,545,82,82.0,0.0,82,82,82,0,82,82
173,7401624_2135-3200,1,0.0,,,0,0,,,0,0,0,0,0,0
174,7458874_485-1547,1,1.0,12.0,95.0,277,83,83.0,0.0,83,83,83,0,83,83
175,7462662_14864-15927,1,1.0,214.0,291.0,483,77,77.0,0.0,77,77,77,0,77,77
176,7297056_4054-5102,1,1.0,241.0,321.0,574,80,0.0,80.0,80,80,80,0,80,80
177,7464068_3425-4450,1,1.0,209.0,255.0,487,46,46.0,0.0,46,46,46,0,46,46
178,7495036_20649-21699,1,1.0,223.0,298.0,707,75,75.0,0.0,76,75,75,0,75,75
180,7465438_2337-3426,1,1.0,238.0,290.0,715,52,52.0,0.0,52,52,52,0,52,52
181,7325395_10992-12062,1,1.0,143.0,213.0,422,70,0.0,70.0,70,70,70,0,70,70
182,7494608_4438-5488,1,1.0,233.0,256.0,472,23,0.0,23.0,23,23,23,0,23,23
183,7495563_2573-3611,1,0.0,,,0,0,,,0,0,0,0,0,0
184,7273851_1736-2900,1,1.0,248.0,372.0,792,124,0.0,124.0,124,124,124,0,124,124
185,7431317_1559-2662,1,1.0,180.0,261.0,509,81,81.0,0.0,81,81,81,0,81,81
186,7457436_1032-2121,1,1.0,248.0,314.0,399,66,0.0,66.0,66,66,66,0,66,66
187,7334620_1097-2148,1,0.9891,227.0,319.0,547,92,0.0,92.0,92,92,92,1,91,92
188,7479341_20390-21486,1,1.0,238.0,355.0,710,117,0.0,117.0,117,117,117,0,117,117
189,7473268_6882-7934,1,1.0,221.0,292.0,540,71,0.0,71.0,71,71,71,0,71,71
190,7489582_2656-3715,1,0.9915,247.0,364.0,364,117,284.0,167.0,285,117,117,1,116,117
191,7394044_18262-19329,1,0.9737,234.0,272.0,559,38,38.0,0.0,38,38,38,1,37,38
192,7440598_25805-26935,1,1.0,209.0,333.0,604,124,125.0,1.0,125,124,124,0,124,124
193,7421157_9324-10352,1,1.0,238.0,284.0,499,46,46.0,0.0,47,46,46,0,46,46
194,7470411_11988-13075,1,0.9890000000000001,114.0,205.0,440,91,0.0,91.0,92,91,91,1,90,91
195,7434450_7422-8560,1,0.993,232.0,375.0,426,143,0.0,143.0,143,143,143,1,142,143
196,7382877_10204-11259,1,1.0,239.0,282.0,837,43,44.0,1.0,45,43,43,0,43,43
197,7432589_3563-4649,1,1.0,221.0,332.0,538,111,1.0,110.0,110,109,109,0,109,111
198,7388401_4784-5923,1,1.0,235.0,396.0,626,161,161.0,0.0,161,161,161,0,161,161
199,7500954_3431-4535,1,1.0,229.0,303.0,638,74,74.0,0.0,74,74,74,0,74,74
200,7505817_2919-3969,1,0.0,,,0,0,,,0,0,0,0,0,0
201,7432991_5684-6743,1,1.0,210.0,263.0,494,53,53.0,0.0,53,53,53,0,53,53
202,7492038_12431-13492,1,1.0,222.0,276.0,580,54,54.0,0.0,54,54,54,0,54,54
204,7494158_53344-54421,1,1.0,216.0,301.0,526,85,85.0,0.0,85,85,85,0,85,85
205,7473370_10445-11471,1,1.0,244.0,294.0,551,50,50.0,0.0,50,50,50,0,50,50
206,7380691_15288-16333,1,1.0,175.0,213.0,339,38,0.0,38.0,38,38,38,0,38,38
207,7390764_7244-8377,1,1.0,224.0,379.0,696,155,0.0,155.0,155,155,155,0,155,155
208,7504741_16270-17349,1,1.0,169.0,252.0,434,83,0.0,83.0,83,83,83,0,83,83
209,7492374_18440-19463,1,1.0,235.0,282.0,514,47,47.0,0.0,47,47,47,0,47,47
210,7271144_2778-3876,1,0.8521,49.0,495.0,502,446,497.0,60.0,617,437,426,63,363,457
211,7491543_14355-15405,1,0.9706,137.0,171.0,408,34,34.0,0.0,34,34,34,1,33,34
212,7478625_10236-11484,1,0.9186,210.0,384.0,1009,174,0.0,172.0,979,172,172,14,158,174
213,7282729_1308-2467,1,1.0,240.0,325.0,325,85,1.0,86.0,183,85,85,0,85,85
214,7417938_2840-3919,1,0.9231,101.0,179.0,331,78,0.0,79.0,80,79,78,6,72,79
215,7498703_8336-9447,1,0.9887999999999999,122.0,211.0,464,89,0.0,89.0,89,89,89,1,88,89
216,7344761_109-1157,1,1.0,249.0,283.0,528,34,0.0,34.0,34,34,34,0,34,34
217,7488007_14699-15732,1,0.9825,214.0,271.0,477,57,58.0,1.0,58,57,57,1,56,57
218,7437091_4275-5304,1,0.0,,,0,0,,,0,0,0,0,0,0
219,7503444_27108-28200,1,0.9697,173.0,272.0,489,99,0.0,99.0,100,99,99,3,96,99
220,7434372_4963-6063,1,0.9891,243.0,335.0,662,92,92.0,0.0,93,92,92,1,91,92
221,7489091_1831-2881,1,0.0,,,0,0,,,0,0,0,0,0,0
222,7264925_42849-43874,1,1.0,240.0,281.0,404,41,41.0,0.0,41,41,41,0,41,41
223,7331562_4436-5477,1,0.0,,,0,0,,,0,0,0,0,0,0
224,7414106_1983-3015,1,1.0,202.0,248.0,541,46,46.0,0.0,47,46,46,0,46,46
225,7320575_321-1415,1,1.0,209.0,268.0,564,59,0.0,59.0,59,59,59,0,59,59
226,7470523_30352-31375,1,1.0,240.0,271.0,544,31,0.0,31.0,31,31,31,0,31,31
227,7480692_809-1859,1,1.0,202.0,231.0,480,29,0.0,29.0,29,29,29,0,29,29
228,7256201_26328-27499,1,1.0,360.0,440.0,748,80,82.0,2.0,82,80,80,0,80,80
229,7259501_8475-9575,1,1.0,240.0,354.0,423,114,0.0,114.0,114,114,114,0,114,114
230,7458440_3627-4795,1,0.9929000000000001,207.0,347.0,636,140,1.0,142.0,142,141,140,1,139,141
232,7475027_7031-8112,1,0.9793999999999999,0.0,97.0,97,97,79.0,176.0,188,97,97,2,95,97
233,7497185_8626-9670,1,0.9873000000000001,220.0,299.0,532,79,79.0,0.0,80,79,79,1,78,79
234,7492668_3665-4706,1,1.0,246.0,319.0,549,73,0.0,73.0,74,73,73,0,73,73
235,7241431_13232-14315,1,1.0,170.0,272.0,537,102,1.0,103.0,103,102,102,0,102,102
236,7476095_5776-6833,1,1.0,234.0,269.0,511,35,0.0,35.0,36,35,35,0,35,35
237,7469738_3305-4345,1,1.0,212.0,254.0,468,42,0.0,42.0,42,42,42,0,42,42
238,7446463_3887-4953,1,0.0,,,0,0,,,0,0,0,0,0,0
239,7475042_690-1717,1,0.9464,226.0,282.0,396,56,56.0,0.0,56,56,56,3,53,56
240,7479066_24499-25554,1,0.8689,211.0,272.0,370,61,76.0,12.0,76,64,61,8,53,64
241,7367994_6197-7330,1,0.9795999999999999,189.0,287.0,477,98,0.0,98.0,98,98,98,2,96,98
242,7397279_7223-8268,1,1.0,218.0,291.0,528,73,74.0,1.0,74,73,73,0,73,73
243,7351102_10-1034,1,0.0,,,0,0,,,0,0,0,0,0,0
244,7494363_33816-34862,1,0.0,,,0,0,,,0,0,0,0,0,0
245,7490653_7296-8408,1,0.8447,62.0,272.0,490,210,210.0,0.0,288,210,206,32,174,214
246,7471152_3579-4643,1,0.9904000000000001,229.0,333.0,610,104,0.0,104.0,104,104,104,1,103,104
247,7503013_38786-39830,1,1.0,247.0,323.0,540,76,76.0,0.0,76,76,76,0,76,76
248,7477334_14796-15852,1,1.0,235.0,267.0,509,32,32.0,0.0,32,32,32,0,32,32
249,7389518_1818-2932,1,0.8956000000000001,45.0,227.0,715,182,0.0,182.0,182,182,182,19,163,182
250,7331068_85-1152,1,1.0,220.0,273.0,609,53,53.0,0.0,53,53,53,0,53,53
251,7416417_4994-6103,1,1.0,249.0,339.0,514,90,1.0,91.0,91,90,90,0,90,90
252,7432142_696-1748,1,0.0,,,0,0,,,0,0,0,0,0,0
253,7330429_196-1222,1,1.0,47.0,141.0,472,94,94.0,0.0,94,94,94,0,94,94
254,7493375_1488-2578,1,0.9884999999999999,142.0,316.0,642,174,174.0,0.0,174,174,174,2,172,174
255,7472117_71271-72360,1,1.0,57.0,127.0,377,70,71.0,1.0,71,70,70,0,70,70
256,7491774_8312-9405,1,1.0,234.0,324.0,372,90,0.0,90.0,90,90,90,0,90,90
257,7308103_1117-2142,1,1.0,88.0,115.0,335,27,27.0,0.0,27,27,27,0,27,27
258,7473263_4934-6078,1,0.9345,8.0,355.0,579,347,13.0,353.0,353,340,336,22,314,351
259,7424138_9435-10498,1,0.0,,,0,0,,,0,0,0,0,0,0
260,7266177_3187-4255,1,1.0,248.0,328.0,583,80,0.0,80.0,80,80,80,0,80,80
261,7322430_1879-2977,1,1.0,238.0,297.0,520,59,0.0,59.0,60,59,59,0,59,59
262,7330739_1573-2651,1,1.0,155.0,192.0,432,37,37.0,0.0,37,37,37,0,37,37
263,7277729_1565-2752,1,1.0,214.0,334.0,612,120,0.0,120.0,120,120,120,0,120,120
264,7352553_5364-6500,1,1.0,243.0,449.0,1167,206,0.0,206.0,206,206,206,0,206,206
265,7342562_1595-2656,1,1.0,215.0,295.0,626,80,0.0,80.0,80,80,80,0,80,80
266,7459873_12927-13966,1,1.0,250.0,287.0,528,37,0.0,37.0,38,37,37,0,37,37
267,7314911_9110-10301,1,0.9790000000000001,19.0,162.0,389,143,0.0,143.0,143,143,143,3,140,143
268,7300381_1219-2305,1,0.0,,,0,0,,,0,0,0,0,0,0
269,7387312_5002-6024,1,0.0,,,0,0,,,0,0,0,0,0,0
270,7263715_3007-4032,1,1.0,87.0,163.0,211,76,76.0,0.0,76,76,76,0,76,76
271,7473183_18665-19716,1,1.0,240.0,309.0,535,69,69.0,0.0,70,69,69,0,69,69
272,7303292_1681-2710,1,0.0,,,0,0,,,0,0,0,0,0,0
273,7479794_912-1962,1,1.0,102.0,136.0,383,34,0.0,34.0,34,34,34,0,34,34
274,7340934_1839-2862,1,0.0,,,0,0,,,0,0,0,0,0,0
275,7404887_4916-5955,1,0.0,,,0,0,,,0,0,0,0,0,0
276,7458857_3243-4337,1,1.0,235.0,269.0,468,34,0.0,34.0,35,34,34,0,34,34
278,7445080_444-1500,1,1.0,235.0,278.0,529,43,0.0,43.0,43,43,43,0,43,43
279,7334702_1454-2499,1,0.0,,,0,0,,,0,0,0,0,0,0
280,7455580_1471-2512,1,0.0,,,0,0,,,0,0,0,0,0,0
281,7502417_15605-16656,1,1.0,220.0,275.0,522,55,55.0,0.0,56,55,55,0,55,55
282,7505853_1436-2486,1,1.0,226.0,301.0,462,75,75.0,0.0,75,75,75,0,75,75
283,7404195_35893-36990,1,1.0,247.0,329.0,618,82,82.0,0.0,83,82,82,0,82,82
284,7454342_2790-3933,1,1.0,211.0,336.0,563,125,0.0,125.0,125,125,125,0,125,125
285,7471838_1079-2120,1,1.0,241.0,300.0,548,59,0.0,59.0,59,59,59,0,59,59
286,7245802_9481-10554,1,1.0,156.0,190.0,407,34,34.0,0.0,34,34,34,0,34,34
287,7411337_2164-3342,1,0.8732,0.0,551.0,562,551,232.0,797.0,1225,565,544,69,475,572
288,7280085_585-1607,1,1.0,243.0,265.0,676,22,22.0,0.0,22,22,22,0,22,22
